route,code_1,code_2,airport_1,airport_2,DepCountry,ArrCountry,DepAirport,ArrAirport,lat_1,long_1,lat_2,long_2,distance,EmissionsKgsCO2e
1,AKL,BHE,Auckland,Blenheim,New Zealand,New Zealand,Auckland (AKL),Blenheim (BHE),-36.8406,174.74,-41.514,173.96,507,98.358
2,AKL,CHC,Auckland,Christchurch,New Zealand,New Zealand,Auckland (AKL),Christchurch (CHC),-36.8406,174.74,-43.531,172.6365,745,144.53
3,AKL,CHT,Auckland,Chatham Islands,New Zealand,New Zealand,Auckland (AKL),Chatham Islands (CHT),-36.8406,174.74,-43.9514,-176.5611,1058,205.252
4,AKL,DUD,Auckland,Dunedin,New Zealand,New Zealand,Auckland (AKL),Dunedin (DUD),-36.8406,174.74,-45.8742,170.5036,1062,206.028
5,AKL,GIS,Auckland,Gisborne,New Zealand,New Zealand,Auckland (AKL),Gisborne (GIS),-36.8406,174.74,-38.6625,178.0178,335,64.99
6,AKL,IVC,Auckland,Invercargill,New Zealand,New Zealand,Auckland (AKL),Invercargill (IVC),-36.8406,174.74,-46.4131,168.3475,1174,227.756
7,AKL,KKE,Auckland,Kerikeri,New Zealand,New Zealand,Auckland (AKL),Kerikeri (KKE),-36.8406,174.74,-35.2244,173.9514,209,40.546
8,AKL,NPE,Auckland,Napier,New Zealand,New Zealand,Auckland (AKL),Napier (NPE),-36.8406,174.74,-39.4903,176.9178,328,63.632
9,AKL,NPL,Auckland,New Plymouth,New Zealand,New Zealand,Auckland (AKL),New Plymouth (NPL),-36.8406,174.74,-39.0578,174.0742,229,44.426
10,AKL,NSN,Auckland,Nelson,New Zealand,New Zealand,Auckland (AKL),Nelson (NSN),-36.8406,174.74,-41.2708,173.2839,495,96.03
11,AKL,PMR,Auckland,Palmerston North,New Zealand,New Zealand,Auckland (AKL),Palmerston North (PMR),-36.8406,174.74,-40.355,175.6117,375,72.75
12,AKL,PPQ,Auckland,Paraparaumu,New Zealand,New Zealand,Auckland (AKL),Paraparaumu (PPQ),-36.8406,174.74,-40.9144,175.0056,433,84.002
13,AKL,ROT,Auckland,Rotorua,New Zealand,New Zealand,Auckland (AKL),Rotorua (ROT),-36.8406,174.74,-38.1378,176.2514,182,35.308
14,AKL,TRG,Auckland,Tauranga,New Zealand,New Zealand,Auckland (AKL),Tauranga (TRG),-36.8406,174.74,-37.6833,176.1667,145,28.13
15,AKL,TUO,Auckland,Taupo,New Zealand,New Zealand,Auckland (AKL),Taupo (TUO),-36.8406,174.74,-38.6875,176.0694,223,43.262
16,AKL,WAG,Auckland,Whanganui,New Zealand,New Zealand,Auckland (AKL),Whanganui (WAG),-36.8406,174.74,-39.9331,175.0286,329,63.826
17,AKL,WHK,Auckland,Whakatane,New Zealand,New Zealand,Auckland (AKL),Whakatane (WHK),-36.8406,174.74,-37.96,176.98,213,41.322
18,AKL,WLG,Auckland,Wellington,New Zealand,New Zealand,Auckland (AKL),Wellington (WLG),-36.8406,174.74,-41.2889,174.7772,479,92.926
19,AKL,WRE,Auckland,Whangarei,New Zealand,New Zealand,Auckland (AKL),Whangarei (WRE),-36.8406,174.74,-35.725,174.3236,143,27.742
20,AKL,ZQN,Auckland,Queenstown,New Zealand,New Zealand,Auckland (AKL),Queenstown (ZQN),-36.8406,174.74,-45.031162,168.662643,1025,198.85
21,BHE,AKL,Blenheim,Auckland,New Zealand,New Zealand,Blenheim (BHE),Auckland (AKL),-41.514,173.96,-36.8406,174.74,507,98.358
22,BHE,PPQ,Blenheim,Paraparaumu,New Zealand,New Zealand,Blenheim (BHE),Paraparaumu (PPQ),-41.514,173.96,-40.9144,175.0056,116,22.504
